;;;;;;[date];[date];[date];[date]
;;;;;;[release1 name];[release2 name];[release3 name];[release4 name]
;;;;;;[paid/trial/interview];[paid/trial/interview];[paid/trial/interview];[paid/trial/interview]
;;Number;Budget;Need;;[release1 budget];[release2 budget];[release3 budget];[release4 budget]
[NEEDS SECTION NAME 1];;;;;;;;;
;I want [need1];[number of clients who are interested];[aggregated budget of clients who are interested];[letter of genotype-needs-taxonomy-level of need1];;[letter of genotype-fidelity-taxonomy-level - solving feature in release1];[letter of genotype-fidelity-taxonomy-level - solving feature in release2];[letter of genotype-fidelity-taxonomy-level - solving feature in release3];[letter of genotype-fidelity-taxonomy-level - solving feature in release4]
;I want [need2];[number of clients who are interested];[aggregated budget of clients who are interested];[letter of genotype-needs-taxonomy-level of need2];;[letter of genotype-fidelity-taxonomy-level - solving feature in release1];[letter of genotype-fidelity-taxonomy-level - solving feature in release2];[letter of genotype-fidelity-taxonomy-level - solving feature in release3];[letter of genotype-fidelity-taxonomy-level - solving feature in release4]
;I want [need3];[number of clients who are interested];[aggregated budget of clients who are interested];[letter of genotype-needs-taxonomy-level of need3];;[letter of genotype-fidelity-taxonomy-level - solving feature in release1];[letter of genotype-fidelity-taxonomy-level - solving feature in release2];[letter of genotype-fidelity-taxonomy-level - solving feature in release3];[letter of genotype-fidelity-taxonomy-level - solving feature in release4]
;I want [need4];[number of clients who are interested];[aggregated budget of clients who are interested];[letter of genotype-needs-taxonomy-level of need4];;[letter of genotype-fidelity-taxonomy-level - solving feature in release1];[letter of genotype-fidelity-taxonomy-level - solving feature in release2];[letter of genotype-fidelity-taxonomy-level - solving feature in release3];[letter of genotype-fidelity-taxonomy-level - solving feature in release4]
[NEEDS SECTION NAME 2];;;;;;;;;
;I want [need5];[number of clients who are interested];[aggregated budget of clients who are interested];[letter of genotype-needs-taxonomy-level of need5];;[letter of genotype-fidelity-taxonomy-level - solving feature in release1];[letter of genotype-fidelity-taxonomy-level - solving feature in release2];[letter of genotype-fidelity-taxonomy-level - solving feature in release3];[letter of genotype-fidelity-taxonomy-level - solving feature in release4]
;I want [need6];[number of clients who are interested];[aggregated budget of clients who are interested];[letter of genotype-needs-taxonomy-level of need6];;[letter of genotype-fidelity-taxonomy-level - solving feature in release1];[letter of genotype-fidelity-taxonomy-level - solving feature in release2];[letter of genotype-fidelity-taxonomy-level - solving feature in release3];[letter of genotype-fidelity-taxonomy-level - solving feature in release4]
;I want [need7];[number of clients who are interested];[aggregated budget of clients who are interested];[letter of genotype-needs-taxonomy-level of need7];;[letter of genotype-fidelity-taxonomy-level - solving feature in release1];[letter of genotype-fidelity-taxonomy-level - solving feature in release2];[letter of genotype-fidelity-taxonomy-level - solving feature in release3];[letter of genotype-fidelity-taxonomy-level - solving feature in release4]
