;;;;;;2026-03-05;2026-03-01;2026-03-01;2026-03-01;2026-03-01
;;;;;;Алексей;Олег;Александра;Участник 1;Poll
;;;;;;interview;interview;interview;interview;Poll
;;Votes;Budget;Need;;;;;;;
Аналитика и конверсия;;;;;;;;;;;
;я хочу понять что влияет на конверсию и какие сообщения вызывают отклик;13;;M;;;1;;1;12
;я хочу узнать бюджеты и конверсии конкурентов;11;;M;;;1;;1;10
;я хочу узнать методы маркетинга конкурентов;10;;M;;;1;;1;9
;я хочу разобраться почему один канал работает, а другой нет;8;;M;;;1;;1;
;я хочу снизить стоимость продвижения на маркетплейсах;8;;M;;;1;;1;7
;я хочу прирост продаж в три раза;2;;M;;;1;;1;
;я хочу решить проблему сбора данных по оффлайн-площадкам;1;;D;;;1;;;
B2B и лиды;;;;;;;;;;;
;я хочу знать где ходят ключевые лица и какие каналы используют;12;;M;;;1;;1;11
;я хочу знать контакты ключевых лиц (гендиректоров) и людей для интродакшн;10;;M;;;1;;1;9
;я хочу заинтересовать B2B-клиентов своей целевой аудитории;8;;M;;;1;;1;7
;я хочу находить клиентов с неиспользованным ресурсом и стать их партнёром;7;;M;;;1;;1;6
;я хочу достучаться до лица принимающего решения в B2B;1;;M;;1;;;;
;я хочу чтобы интервью проводил человек которому респондент откроется честно;1;;M;;1;;;;
;я хочу проводить достаточное количество интервью для репрезентативной выборки;1;;M;;1;;;;
Дистрибуция и каналы;;;;;;;;;;;
;я хочу поднять лояльность;7;;D;;;1;;1;6
;я хочу выйти на соседние/географические рынки;6;;D;;;;;;6
;я хочу зайти в розничные сети и крупные каналы;5;;M;;;1;;1;3
;я хочу знать моменты/циклы когда закупщики закупают;4;;D;;;1;;1;3
;я хочу больше поставщиков/площадок на платформу;2;;M;;;1;;1;1
Исследование и продукт;;;;;;;;;;;
;я хочу узнать сценарий использования продукта от аудитории;2;;D;;;1;;1;
;я хочу доработать продукт на основе маркетингового исследования;2;;D;;;1;;1;
Обучение и инвестиции;;;;;;;;;;;
;я хочу понять как мыслят инвесторы и что с ними нужно сделать чтобы они дали деньги;1;;M;;1;;;;
;я хочу применять знания на практике а не только слушать лекции;1;;M;;1;;;;
